x2,thin,deg,dummy,thin,min_val,avg_val,max_val
29.88855117,29,29.86333333,,,,,
29.98986829,29,29.92,,,,,
30.09118541,30,29.92,,,,,
30.19250253,30,29.92,,,,,
30.29381966,30,29.97666667,,,,,
30.39513678,30,30.03333333,,,,,
30.4964539,30,30.09,,,,,
30.59777102,30,30.09,,,,,
30.69908815,30,30.14666667,,,,,
30.80040527,30,30.14666667,,,,,
30.90172239,30,30.20333333,,,,,
31.00303951,31,30.20333333,,,,,
31.10435664,31,30.26,,,,,
31.20567376,31,30.31666667,,,,,
31.30699088,31,30.37333333,,,,,
31.408308,31,30.37333333,,,,,
31.50962513,31,30.37333333,,,,,
31.61094225,31,30.43,,,,,
31.71225937,31,30.43,,,,,
31.81357649,31,30.48666667,,,,,
31.91489362,31,30.54333333,,,,,
32.01621074,32,30.6,,,,,
32.11752786,32,30.65666667,,,,,
32.21884498,32,30.65666667,,,,,
32.32016211,32,30.65666667,,,,,
32.42147923,32,30.71333333,,,,,
32.52279635,32,30.77,,,,,
32.62411348,32,30.82666667,,,,,
32.7254306,32,30.88333333,,,,,
32.82674772,32,30.88333333,,,,,
32.92806484,32,30.88333333,,,,,
33.02938197,33,30.94,,,,,
33.13069909,33,30.94,,,,,
33.23201621,33,30.94,,,,,
33.33333333,33,30.99666667,,,,,
33.43465046,33,31.05333333,,,,,
33.53596758,33,31.11,,,,,
33.6372847,33,31.16666667,,,,,
33.73860182,33,31.16666667,,,,,
33.83991895,33,31.16666667,,,,,
33.94123607,33,31.22333333,,,,,
34.04255319,34,31.22333333,,,,,
34.14387031,34,31.33666667,,,,,
34.24518744,34,31.39333333,,,,,
34.34650456,34,31.39333333,,,,,
34.44782168,34,31.39333333,,,,,
34.5491388,34,31.39333333,,,,,
34.65045593,34,31.45,,,,,
34.75177305,34,31.45,,,,,
34.85309017,34,31.45,,,,,
34.95440729,34,31.50666667,,,,,
35.05572442,35,31.62,,,,,
35.15704154,35,31.62,,,,,
35.25835866,35,31.67666667,,,,,
35.35967579,35,31.67666667,,,,,
35.46099291,35,31.67666667,,,,,
35.56231003,35,31.67666667,,,,,
35.66362715,35,31.67666667,,,,,
35.76494428,35,31.73333333,,,,,
35.8662614,35,31.79,,,,,
35.96757852,35,31.84666667,,,,,
36.06889564,36,31.90333333,,,,,
36.17021277,36,31.90333333,,,,,
36.27152989,36,31.90333333,,,,,
36.37284701,36,31.90333333,,,,,
36.47416413,36,31.96,,,,,
36.57548126,36,31.96,,,,,
36.67679838,36,31.96,,,,,
36.7781155,36,32.01666667,,,,,
36.87943262,36,32.07333333,,,,,
36.98074975,36,32.13,,,,,
37.08206687,37,32.18666667,,,,,
37.18338399,37,32.18666667,,,,,
37.28470111,37,32.18666667,,,,,
